iter	Passed	Remaining
524	42941	38851
525	43017	38764
526	43091	38675
527	43172	38593
528	43254	38512
529	43336	38430
530	43411	38342
531	43492	38260
532	43577	38181
533	43661	38101
534	43749	38025
535	43831	37943
536	43915	37864
537	43992	37778
538	44060	37683
539	44152	37611
540	44257	37549
541	44339	37468
542	44413	37379
543	44491	37294
544	44568	37208
545	44651	37127
546	44726	37040
547	44802	36953
548	44895	36881
549	44986	36807
550	45097	36749
551	45191	36677
552	45277	36598
553	45354	36512
554	45448	36440
555	45520	36351
556	45588	36258
557	45671	36176
558	45746	36090
559	45829	36008
560	45914	35929
561	45983	35837
562	46073	35762
563	46164	35687
564	46255	35612
565	46329	35524
566	46415	35446
567	46497	35364
568	46579	35282
569	46649	35191
570	46725	35105
571	46799	35017
572	46877	34933
573	46959	34851
574	47042	34770
575	47121	34686
576	47195	34599
577	47282	34520
578	47359	34435
579	47426	34343
580	47514	34266
581	47612	34196
582	47710	34125
583	47787	34040
584	47867	33957
585	47949	33875
586	48026	33790
587	48104	33705
588	48187	33624
589	48261	33537
590	48356	33464
591	48436	33381
592	48507	33292
593	48579	33203
594	48652	33116
595	48737	33036
596	48816	32953
597	48894	32868
598	48964	32779
599	49041	32694
600	49114	32607
601	49182	32515
602	49255	32428
603	49324	32338
604	49402	32254
605	49474	32166
606	49547	32079
607	49626	31995
608	49701	31910
609	49773	31822
610	49843	31733
611	49925	31652
612	50003	31568
613	50084	31486
614	50156	31398
615	50223	31307
616	50293	31219
617	50381	31141
618	50456	31056
619	50523	30966
620	50605	30885
621	50677	30797
622	50756	30714
623	50825	30625
624	50896	30537
625	50987	30461
626	51069	30381
627	51140	30293
628	51214	30207
629	51295	30126
630	51366	30038
631	51452	29959
632	51527	29874
633	51600	29788
634	51680	29705
635	51769	29629
636	51844	29543
637	51915	29456
638	52000	29377
639	52086	29298
640	52177	29222
641	52255	29139
642	52336	29057
643	52422	28978
644	52492	28891
645	52575	28810
646	52647	28723
647	52727	28642
648	52809	28560
649	52893	28481
650	52990	28408
651	53070	28325
652	53169	28253
653	53253	28173
654	53348	28099
655	53464	28036
656	53559	27961
657	53657	27888
658	53757	27817
659	53845	27738
660	53933	27660
661	54022	27582
662	54138	27518
663	54229	27441
664	54332	27370
665	54417	27290
666	54497	27207
667	54570	27121
668	54648	27038
669	54727	26955
670	54801	26869
671	54893	26793
672	54988	26717
673	55066	26634
674	55148	26553
675	55234	26473
676	55317	26392
677	55415	26318
678	55524	26249
679	55606	26167
680	55706	26094
681	55792	26014
682	55879	25935
683	55958	25851
684	56031	25766
685	56119	25687
686	56209	25609
687	56286	25525
688	56371	25444
689	56456	25364
690	56541	25284
691	56618	25199
692	56691	25114
693	56770	25031
694	56867	24956
695	56969	24883
696	57060	24805
697	57150	24727
698	57232	24645
699	57322	24566
700	57413	24488
701	57501	24409
702	57591	24330
703	57683	24253
704	57771	24173
705	57844	24088
706	57926	24006
707	58004	23922
708	58081	23838
709	58167	23758
710	58260	23681
711	58354	23604
712	58439	23523
713	58538	23448
714	58635	23372
715	58714	23288
716	58787	23203
717	58874	23123
718	58948	23038
719	59038	22959
720	59115	22875
721	59195	22792
722	59285	22713
723	59380	22636
724	59472	22558
725	59566	22481
726	59637	22394
727	59720	22313
728	59817	22236
729	59891	22151
730	59969	22068
731	60063	21990
732	60165	21915
733	60258	21837
734	60328	21751
735	60421	21673
736	60514	21594
737	60595	21512
738	60689	21434
739	60770	21351
740	60853	21269
741	60925	21184
742	61002	21100
743	61091	21020
744	61173	20938
745	61241	20851
746	61321	20768
747	61398	20684
748	61465	20597
749	61538	20512
750	61642	20437
751	61728	20357
752	61823	20279
753	61911	20199
754	62009	20122
755	62097	20041
756	62185	19961
757	62260	19877
758	62351	19798
759	62443	19718
760	62565	19649
761	62675	19575
762	62782	19501
763	62898	19429
764	63024	19360
765	63106	19278
766	63188	19195
767	63279	19115
768	63351	19030
769	63431	18947
770	63530	18869
771	63611	18786
772	63680	18700
773	63774	18621
774	63860	18540
775	63935	18455
776	64011	18371
777	64093	18288
778	64208	18215
779	64290	18133
780	64384	18054
781	64463	17970
782	64543	17887
783	64630	17806
784	64711	17723
785	64790	17640
786	64865	17555
787	64948	17473
788	65027	17390
789	65112	17308
790	65183	17222
791	65257	17138
792	65333	17054
793	65438	16977
794	65512	16893
795	65602	16812
796	65681	16729
797	65760	16646
798	65837	16562
799	65918	16479
800	65991	16394
801	66071	16311
802	66160	16231
803	66293	16161
804	66384	16080
805	66466	15998
806	66558	15917
807	66669	15842
808	66754	15760
809	66840	15678
810	66933	15598
811	67014	15515
812	67092	15432
813	67181	15351
814	67256	15266
815	67318	15179
816	67392	15095
817	67464	15010
818	67536	14925
819	67632	14846
820	67707	14762
821	67789	14679
822	67888	14600
823	67965	14516
824	68050	14434
825	68127	14351
826	68202	14267
827	68283	14184
828	68360	14100
829	68445	14018
830	68525	13936
831	68603	13852
832	68690	13771
833	68769	13687
834	68866	13608
835	68949	13525
836	69033	13443
837	69140	13366
838	69215	13282
839	69292	13198
840	69381	13117
841	69466	13035
842	69544	12951
843	69635	12871
844	69719	12788
845	69797	12705
846	69873	12621
847	69962	12540
848	70040	12457
849	70123	12374
850	70204	12291
851	70296	12211
852	70397	12131
853	70478	12049
854	70554	11965
855	70637	11882
856	70724	11801
857	70799	11717
858	70877	11634
859	70962	11552
860	71054	11470
861	71127	11386
862	71198	11302
863	71271	11218
864	71356	11136
865	71434	11053
866	71517	10970
867	71594	10887
868	71704	10809
869	71786	10726
870	71870	10644
871	71944	10560
872	72013	10476
873	72094	10393
874	72190	10312
875	72263	10229
876	72342	10146
877	72435	10065
878	72523	9983
879	72603	9900
880	72706	9820
881	72774	9736
882	72855	9653
883	72973	9575
884	73050	9492
885	73136	9410
886	73212	9326
887	73289	9243
888	73378	9162
889	73468	9080
890	73543	8996
891	73626	8914
892	73707	8831
893	73798	8750
894	73882	8667
895	73961	8584
896	74034	8501
897	74111	8418
898	74228	8339
899	74309	8256
900	74391	8174
901	74475	8091
902	74564	8009
903	74660	7928
904	74769	7848
905	74931	7774
906	75108	7701
907	75188	7618
908	75268	7535
909	75340	7451
910	75418	7367
911	75524	7287
912	75600	7204
913	75685	7121
914	75765	7038
915	75840	6954
916	75917	6871
917	76001	6788
918	76077	6705
919	76152	6621
920	76227	6538
921	76314	6456
922	76401	6373
923	76481	6290
924	76569	6208
925	76681	6127
926	76773	6045
927	76846	5962
928	76934	5879
929	77022	5797
930	77107	5714
931	77216	5633
932	77326	5552
933	77426	5471
934	77519	5389
935	77615	5307
936	77700	5224
937	77774	5140
938	77848	5057
939	77932	4974
940	78040	4893
941	78117	4809
942	78188	4726
943	78265	4642
944	78340	4559
